iter	Passed	Remaining
552	13168	10644
553	13190	10619
554	13214	10595
555	13239	10572
556	13262	10547
557	13286	10524
558	13310	10500
559	13334	10476
560	13358	10453
561	13381	10429
562	13408	10407
563	13430	10382
564	13455	10359
565	13478	10335
566	13524	10328
567	13547	10304
568	13575	10282
569	13600	10259
570	13623	10235
571	13647	10211
572	13672	10188
573	13696	10164
574	13722	10142
575	13745	10118
576	13770	10095
577	13794	10071
578	13819	10048
579	13843	10024
580	13870	10002
581	13893	9978
582	13917	9954
583	13939	9929
584	13964	9906
585	13988	9882
586	14014	9860
587	14038	9836
588	14062	9812
589	14086	9789
590	14109	9764
591	14136	9742
592	14158	9717
593	14181	9693
594	14205	9669
595	14230	9646
596	14252	9621
597	14282	9600
598	14304	9576
599	14329	9552
600	14352	9528
601	14378	9505
602	14400	9480
603	14425	9457
604	14448	9433
605	14471	9409
606	14494	9384
607	14515	9358
608	14535	9332
609	14563	9310
610	14585	9286
611	14610	9262
612	14632	9237
613	14656	9213
614	14679	9189
615	14702	9165
616	14727	9141
617	14750	9117
618	14775	9094
619	14799	9070
620	14825	9048
621	14847	9023
622	14872	8999
623	14894	8974
624	14918	8950
625	14941	8926
626	14964	8902
627	14987	8877
628	15008	8852
629	15031	8827
630	15052	8802
631	15074	8777
632	15096	8752
633	15120	8728
634	15141	8703
635	15163	8678
636	15185	8653
637	15205	8627
638	15227	8602
639	15250	8578
640	15272	8553
641	15293	8528
642	15316	8503
643	15339	8479
644	15362	8455
645	15383	8430
646	15405	8405
647	15427	8380
648	15452	8357
649	15473	8332
650	15494	8306
651	15518	8283
652	15540	8257
653	15562	8233
654	15585	8209
655	15606	8183
656	15630	8160
657	15653	8135
658	15674	8110
659	15700	8087
660	15721	8062
661	15743	8038
662	15765	8013
663	15787	7988
664	15810	7964
665	15833	7940
666	15855	7915
667	15880	7892
668	15901	7867
669	15922	7842
670	15946	7818
671	15967	7793
672	15988	7768
673	16012	7744
674	16033	7719
675	16051	7693
676	16071	7667
677	16095	7644
678	16139	7630
679	16162	7605
680	16206	7591
681	16228	7567
682	16250	7542
683	16287	7524
684	16309	7500
685	16331	7475
686	16356	7452
687	16377	7427
688	16398	7402
689	16422	7378
690	16449	7355
691	16473	7332
692	16495	7307
693	16517	7283
694	16541	7259
695	16563	7234
696	16587	7210
697	16609	7186
698	16630	7161
699	16654	7137
700	16677	7113
701	16700	7089
702	16722	7064
703	16743	7039
704	16767	7016
705	16789	6991
706	16811	6966
707	16833	6942
708	16856	6918
709	16877	6893
710	16896	6867
711	16918	6843
712	16938	6818
713	16959	6793
714	16981	6768
715	17005	6745
716	17025	6720
717	17046	6695
718	17069	6671
719	17090	6646
720	17113	6622
721	17134	6597
722	17156	6572
723	17177	6548
724	17201	6524
725	17221	6499
726	17241	6474
727	17265	6450
728	17285	6425
729	17306	6401
730	17330	6377
731	17352	6352
732	17371	6327
733	17394	6303
734	17416	6279
735	17435	6254
736	17456	6229
737	17500	6212
738	17545	6196
739	17568	6172
740	17612	6155
741	17635	6132
742	17659	6108
743	17683	6084
744	17707	6060
745	17731	6037
746	17755	6013
747	17778	5989
748	17802	5965
749	17826	5942
750	17849	5918
751	17872	5894
752	17894	5869
753	17917	5845
754	17942	5822
755	17964	5798
756	17987	5774
757	18012	5750
758	18033	5725
759	18058	5702
760	18082	5679
761	18106	5655
762	18128	5631
763	18150	5606
764	18175	5583
765	18195	5558
766	18216	5533
767	18240	5510
768	18261	5485
769	18282	5461
770	18347	5449
771	18371	5425
772	18393	5401
773	18415	5377
774	18440	5353
775	18463	5329
776	18489	5306
777	18512	5282
778	18537	5259
779	18562	5235
780	18584	5211
781	18606	5187
782	18629	5162
783	18652	5138
784	18675	5115
785	18699	5091
786	18721	5066
787	18742	5042
788	18767	5018
789	18789	4994
790	18814	4971
791	18838	4947
792	18860	4923
793	18882	4898
794	18902	4874
795	18922	4849
796	18942	4824
797	18962	4799
798	18984	4775
799	19004	4751
800	19025	4726
801	19047	4702
802	19067	4677
803	19088	4653
804	19108	4628
805	19131	4604
806	19153	4580
807	19172	4555
808	19195	4532
809	19217	4507
810	19243	4484
811	19263	4460
812	19285	4435
813	19306	4411
814	19332	4388
815	19353	4364
816	19374	4339
817	19397	4315
818	19418	4291
819	19440	4267
820	19463	4243
821	19486	4219
822	19526	4199
823	19547	4175
824	19569	4151
825	19592	4127
826	19614	4103
827	19636	4079
828	19661	4055
829	19683	4031
830	19705	4007
831	19728	3983
832	19750	3959
833	19773	3935
834	19798	3912
835	19819	3887
836	19842	3864
837	19863	3840
838	19883	3815
839	19905	3791
840	19928	3767
841	19949	3743
842	19972	3719
843	19995	3695
844	20015	3671
845	20037	3647
846	20059	3623
847	20079	3599
848	20105	3575
849	20127	3551
850	20150	3528
851	20172	3504
852	20214	3483
853	20235	3459
854	20257	3435
855	20277	3411
856	20297	3386
857	20323	3363
858	20343	3339
859	20363	3315
860	20386	3291
861	20430	3270
862	20460	3248
863	20483	3224
864	20527	3203
865	20551	3179
866	20573	3156
867	20595	3132
868	20640	3111
869	20663	3087
870	20686	3063
871	20707	3039
872	20732	3016
873	20755	2992
874	20778	2968
875	20803	2944
876	20826	2920
877	20851	2897
878	20872	2873
879	20894	2849
880	20916	2825
881	20938	2801
882	20962	2777
883	20983	2753
884	21004	2729
